Polaridade,Tweets Limpos
neutro,falta desde cedo
negativo,pesadelo parece acaba nunca xadxadxadxad voltou hospital Agora falta vÃxadrus httpstcomeprg1pIrk
negativo,dias falta toda antes dormir nebulizar aglomerando gente munâ httpstcoZSN12pCBbr
negativo,falta todo agora carai
neutro,realmente achando morrer posso sentar sofÃ falta
negativo,ensaio cedo graÃas falta madrugada toda pude porra ainda matar
neutro,falta poha
negativo,Falta puta cansado sentido nnpor favor agora
neutro,Falta fudida
neutro,Falta hoje passando limites
negativo,fica falta porra
neutro,manhÃ tava saindo bocae tarde acordei falta arquase morrendodia louco porra
neutro,indo hospital morrendo falta rezando
negativo,assustador hospital falta crise choro dentro sozinha quan httpstcohBUhiClVpX
neutro,falta parece alguem sentado peito consigo puxar direito morre
negativo,chorando telefone corpo falta causa covid acaba
negativo,falta matando poucos aqui nada galera
negativo,repente fiquei falta vtmnc
negativo,falta
negativo,falta morre
neutro,Vivendo eterno falta serÃ covid ansiedade desde marÃo 2020
neutro,dormir falta acordo falta assim segue todo Jesus
neutro,fecha algm tosse
negativo,triste Perdi amigo Longas longas conversas disse Covid tosse inconformado
negativo,crise tosse tudo precisava
negativo,detesto ficar tosse
negativo,tosse aguento
negativo,tosse matando
neutro,preocupada real ncamilla tosse seca todo Viih tube semana passada agoraâ httpstcofIVkkXmQ1I
negativo,Lindo tosse ficando paranÃica
negativo,Deus difÃxadcil segurar tosse
neutro,fessor tendo aula covid tendo crise tosse
negativo,aguento coriza tosse
negativo,aguento tosse satanÃs preciso voltar vida piranha novo
neutro,tosse carai
neutro,tosse esquisita medo real covid tomar antialÃrgico passar fodeu
neutro,todo vizinho passando puta tosse tuberculoso falta morrer sempre assusto kkkkk
negativo,Tosse chata
negativo,Tosse comeÃo garganta faltava
negativo,tosse seca chata
neutro,update jeto semana mencionei aqui sintomas leves tosse garganta coriza reporâ httpstcoeEYsJD4mdy
neutro,meses assim febre dormiu chorou tadinha
negativo,AÃxad vocÃ surtando acordo falando filha acordou febre corpo covid
positivo,Acordei felizona estudar febre
positivo,venceu febre passou
negativo,Davi febre acordando toda hora cansada
negativo,agora febre gente aqui casa pesado
negativo,sentindo infernal febre quero morre
neutro,febre tosse cansaÃo tomara aaaaaaaaa
negativo,horrores achei tava melhorando voltei febre todo tipo exausto trabalha httpstcoTIOZKbt6mN
negativo,Kkkkkkkk entendi alÃm psicolÃgico piorei velocidade desabafo febre deus httpstcouTXW64xfUA
negativo,tosse febre comprar remÃdio
neutro,febre
neutro,febre suando frio Deus
neutro,muita febre „xad
neutro,Sigo febre Ipanema peÃo teÃÃo
neutro,dando febre senhor
negativo,fudida acho acordei febre olfato diminuiu garganta ficou ruim NADA
negativo,menina aqui Ãnibus falando febre nela vacina carai tomo
positivo,Simmm aÃxad jornal passava povo tava sentindo falta AÃxad ficava SerÃâ httpstcol7GUHxJ2MT
neutro,sair plantas kkkkkkk hora parece falta
negativo,Nesse vÃxaddeo âpacienteâx9d falta Jamais algo HORRÃx8dVEL paganda httpstcokuzJ3q9rZZ
negativo,achando fobia social Toda pego onibus metro falta preso preciso psicologo
negativo,sentindo falta direto ansiedade desgraÃada mate logo
negativo,Ontem consigui crise disforia ansiedade depreso falta hiperatividade crise bizarra queâ httpstcomgLA4xVSaO
negativo,Trabalhar gente morta fome falta coisa nojenta existe raÃa maldita
neutro,sonhou espÃxadrito tentando sufocala realmente acordou falta arpqp
negativo,costas falta acho morrer verdade
negativo,caralho noite foda dormi quase nada falta
negativo,Falta lixo
negativo,falta espero morra
neutro,Falta
neutro,Fiquei falta plmds
negativo,momento chorar falta
negativo,mÃdico nega ambulÃncia irmÃo diarrÃia febre abdominal FALTA httpstcoi9Dln8OO8V
negativo,Ãtimo indo hospital falta indo levar inferno
neutro,imaginar daqui pouco comeÃa falta vontade chorar
neutro,romantiza ansiedade nunca passou noite inteira dormir chorando falta cansaÃo desgraÃado crise
negativo,muita falta ultimamente medo
negativo,menina sala falta deus ainda casa
neutro,barriga atrÃs olhos falta feia dormi espera
negativo,todo negÃcio acordar morrendo falta Ãdio merda caralho
negativo,inexplicÃvel falta
positivo,24horas filaâ httpstcouRof6c5KU9
positivo,brasileirinhos exame Covid 1nSei falso outro vÃxadrus maluco httpstcoZSYjJeGEYF
neutro,Cada tosse escutada oraÃÃo diferente
neutro,camilla thais tosse caio carla sentir gosto coisas viih tube gargantaarthur httpstcotN5Dk5cxut
neutro,Carla Diaz sentir gosto cheironCaio sentir gosto quebradonCamilla Lucas tosse seca nThais httpstcoyIOS8upIxu
neutro,Melhor coisa muita mÃdica passou xarope tosse fazia dormir httpstcorhr39X09EP
negativo,Sonhando aguento tosse entrar PÃnico
negativo,tosse pneumologista pede tomografia retorno httpstcos6Be9069NE
negativo,Aconteceu temia crise tosse Ãnibus queria morrer xadx8fu200¸x8fxadx8fu200¸x8fxadx8fu200¸x8f
negativo,dormir cedo lembro tosse tentar engolir formava boca pensava perdeâ httpstcoAvgO2HE28X
neutro,febre tosse cansaÃo tomara aaaaaaaaa
positivo,Finalmente tosse seca expectorando
negativo,preguei olho noite tosse infernos
negativo,odiar tossir frente outros trabalho ataca tosse inferno
neutro,tosse coriza garganta febre covid todo caso dado temâ httpstcot4VPKLzX1i
neutro,tosse infernos Brasil
neutro,Rezem ClÃo internada ontem noite dificuldade respirar tosse cachorro
negativo,separando alas suspeito covid consulta normal igual bosta velhonnse pego merdaâ httpstcohXGLkGK5Mg
negativo,tosse desgraÃa medo covid
neutro,crise tosse chega engasguei kkkkk mulher saiu lado
negativo,tosse pulmÃo serio dormir hoje
neutro,tosse desgraÃaaaaaa
neutro,tosse caralho embora
negativo,tosse terrÃxadvel peito costas pulmÃozinho incomode novamente afim ficar httpstcof3TaG3KETN
negativo,tosse normal loco
negativo,tipo idiota pensam morre todo santo 1000 pessoas doenÃaâ httpstcoAhMHk34An0
neutro,Deus cÃunChuva intensanEu mundonSem noxadciasnVai dando falta
negativo,ansiedade falta crlh
negativo,ansiedade esmago barriga falta peito Jesus causa
negativo,tantas manotas deste desGoverno superei fase vergonha alheia raiâ httpstcoUNA6lqESAK
neutro,Espero falta asma covid ferrada
neutro,falta ansiedade ataca
neutro,Deus acordei falta
neutro,amado falta
negativo,Passei madrugada falta Acho hora chegando
neutro,falta DeusnParece morrer
negativo,paladar tosse dias casa vigiada Brasil Globolixo fala tanto gente ficar httpstcoMB9VEsQw0d
negativo,Ãdio desse imbecil porra NUNCA tiro mÃscara idiota veio bebendo agua httpstco0W8aZDFdGf
neutro,melhorando acho Ainda recuperaram olfato paladar tosse seca httpstcofm7nS1ZokY
negativo,sensaÃÃo garganta ruim tosse fodida dias httpstco6ZuogmpCB5
neutro,Caralho crise tosse agora
negativo,tosse passa raiva
neutro,refluxo sinto comer vontade vomitar junto tosse soluÃo insuporveâ httpstcoTTUHYpKwhg
negativo,acordou tosse Deus corona pfvv
neutro,Poxa preocupado acesso tosse agora manhÃ coceira garganta atento verâ httpstcoXScSEbKKYA
negativo,tosse chata mano
negativo,vergonha cara fica onde Conseguiram eliminar sarampo febre amarela dengue hepatite httpstcoIjkZ5XDh9i
positivo,alÃxadvio contente febre menos corona kkkkk
neutro,deus todas amigas garganta febre
neutro,Acho dando febre causa porra poeira
positivo,acordei parecendo levei soco olho tanto doendo maos juntas pÃsnnmassshttpstcoSKIhNAHvML
negativo,sair casa pode sair farmÃcia hospital farmÃcia estar httpstcoHkUMt6gdWZ
neutro,arthur dormiu aqui queimando febre
negativo,davi acordou febre aperta logo
negativo,apetite algum febre dores corpo latejando medo alguma coisa acabaâ httpstcoYTfSLeEqlC
neutro,febre favor embora
negativo,Gente semana inhaca todo lado febre cÃlica siso todo zoado crise enxaqueca toma
negativo,Mano medo quero morrer nnGalera orem dias seguidos febre alta olhos httpstco3S4ic2SQv8
neutro,medo estar febre noÃÃo
neutro,passou madrigada toda febre”¬
negativo,Passei noite toda febre medo
negativo,piorar tudo ainda febre
negativo,tosse raiva homem maldito
negativo,serio tava comeÃou esfergar falando tomara pegue gripe contaâ httpstcom1T0ut6gJ3
positivo,tosse dando trÃgua finalmente caralho
negativo,aÃxad acordei agora tosse tudo conta desse caralho mudanÃa tempo
neutro,Dani cheio tosse tadinho
negativo,Foda tosse gripe pandemia quer expirar tossir pulmÃµes pessoas ficam httpstco9CtteSQEXl
positivo,Ontem terminei corticoide hoje termino antibiÃtico sentindo melhor comparaÃÃonnMaâ httpstcogF14yxY4zq
negativo,merda pneumonia deixa mano aguento tosse raivaaaa
negativo,tosse desgraÃada consegui dormir direito
negativo,Tosse
negativo,Ruim jornalzinho merdas ministro certeza muita culpa nisto tudo pois httpstcokocH2Rv2ks
negativo,fico triste envergonhado noxadcias outros estados aqui Paulo httpstcoiLcP3CmleD
negativo,Ouvir reportagens covid cedo falta
negativo,centro agora manhÃ nada comeÃou medo comum falta bizarra httpstcoBAYWbumx0y
negativo,Pergunta Mandetta porque tocolo cure mÃdico somente sentir falta httpstco8N0s3XKqwS
negativo,Mandetta nunciamento naÃÃo pediu brasileiros curassem ajuda mÃdica somente httpstcovhfOLM1YdU
negativo,Muitas pessoas perderam vida confiar cidao recomendou curar hospital somenteâ httpstco9mTOF1Wmet
negativo,imbecil recomendava curasse mÃdico sentisse falta
negativo,Falou imbecil fica casa sentir falta
negativo,Falou rapaz mandou hospital falta festinha mÃscara
neutro,impressionante doenÃa afeta tudo tosse desestabiliza corpo fÃxadsico falta httpstcom33bK6Gean
negativo,Acordei falta devo preocupar
negativo,Acordei falta bombinha achei asma continua jeito Agora preocupada
negativo,falta acho deus
negativo,falta fudidaaa
negativo,Odeio acordar falta
negativo,ontem hoje falta saco sinceramente
negativo,falta
negativo,todo acordo hora porque cismo falta covid deus aguento
negativo,alegria pobre dura pouconOntem recheado alegria alÃxadvio estar vacinada puta odioâ httpstcoQWdcrSP3rl
negativo,gripezinha pqpnEu treconMuita febre muita cansaÃoâ httpstcoXxffXAhsJ6
negativo,Amiga chegou febre postinho MÃdico vagabundo corrupto tacou suspeita covid mandou isolar httpstcomHl2ldG80i
negativo,Desde anteontem febre disposiÃÃo
positivo,passamos margem febre intensos dias
negativo,Febre dormi choro ainda
negativo,pobre amanhecer febre
negativo,ontem noite quase morri febre
negativo,arrumei escola febre passa aguento
negativo,aguento acordar febre
negativo,consegui dormir cheia febre tendo pesadelos horrÃxadveis
negativo,posso conversar abraÃar ninguÃm porque fico silÃncio consigo httpstcobgkQHR8jCp
negativo,Queimei febre noite inteira acabei levantar morrendoela perguntou ainda quer cobrar coisas mimaff
negativo,viajando maluco porra prudente sofisticada comeu manga febre
negativo,Prescrevendo onde mÃdicos prescrevâ httpstco6gJkuq7nvd
negativo,entendo porque entrevistar cara deveria incriminado ohttpstcoXpoLUBDwdQ
negativo,FamÃxadlia amigos Covid leitos Pirapora Jesus muita febre fracos DoenÃa podemos ajudar
positivo,quero avisar melhorzinho graÃas febre sendo controladahttpstcoiUOhJA8DRT
positivo,quadro clÃxadnico esvel febre oxigÃnio baixo fluxo nenhum outro sintoma relevante assiâ httpstcowf7Gvhgzxy
negativo,febre trem satanÃs
negativo,Hoje tristeza passageiranHoje fiquei febre tarde inteiranE chegar noite cada estrela parecerÃ lÃgrima
negativo,basta febre horas garganta doendo tanto consigo comertomar nada raiva
positivo,MamÃe esvel saturaÃÃo normal febre orientadanAinda precisa suporte oxigÃnionO sinal httpstcowpgQGkBTIJ
negativo,bebÃ acordou febre
negativo,febre preso baixa
negativo,terceiro acordo febre acontecendo comigo
negativo,queimando febre nada
negativo,mocinha acha graÃa mÃdicos linha frente usam mÃscara inteiro inÃxadcioâ httpstcolvGBwVp5Aj
negativo,Assim mÃdicos compencia pouco commisso vida fala existe httpstcoPr3FSF1ahL
negativo,sinto fase difÃxadcil guerra enfermeira hospital lotado RSnn‰ falta httpstcofZBI6go9wk
negativo,acordei falta porque sonhei contexto pandemia tava todo mundo aglomerado lugar fechado mÃscara agonia
negativo,sintomas covid precisei consultar fazer exame fiquei assustado emocâ httpstcoE8oml2EjRM
negativo,hoje foda acordei vÃrias vezes falta fiquei paralisia todas vezes tentei dormir novo agora chorando
negativo,falta
negativo,Cuba pacientes precisam levar comida casa hospitalâ pagar tratamento internaÃâ httpstcoaolf071EON
negativo,Pois nobro aqui Alemanha nenhum remÃdio exceâ httpstcowBeS8k0jJu
positivo,Renato fase tomando ivermectina azitromicina zinco sentindoâ httpstcoDJlvzQFEi6
negativo,sintoma acordeipior muita tosse peito pesado febre preocupada
negativo,acordei tosse
negativo,internado Nunca desperador naquele estado cansaÃo tosse persistente tiraâ httpstcossJ7FLBLPJ
negativo,Caralho tosse insuporvel
negativo,tosse voltando FUDEEER GRIPE MERDAAAAA
negativo,amado tosse peste essaaaaaa
neutro,NebulizacÃo entupindo remÃdio nada tosse gripe passar porra corona
neutro,caso tosse velha afogo saliva caso espirro puramente alergico inferno
neutro,nada fico gripado merda cheio tosse
neutro,tosse
negativo,pensar dormir tosse desgraÃada
neutro,Sabe tosse Ãnsia Pois
negativo,tosse caralho
negativo,QUERO PESSOAS MORRAM LIGO DINHEIR9 VENHAM DIZER PASSA ARROGANCIAâ httpstcovyycdGs5lG
neutro,VocÃ covarde carÃter cesseme tosse
neutro,ainda tosse cima outros pragas
neutro,Caralho tabagismo nnFui risada tosse fumante cinco minutos
neutro,COVID congeso nasal TaÃxad caso marido tosse seca deixou cismada
neutro,Receita dada conforme sintomas Covid doenÃa sismica receiâ httpstco57F1HO00My
neutro,acho tosse medo
neutro,noite covid semana hoje hospital febre tosse reagir âx8f
neutro,tosse cachorro foda
neutro,tosse nunca embora Ãdio
neutro,mano tosse porra
negativo,aguento ficar casa mano vtmnc tosse desgraÃada
negativo,nojo tosse seca nunca passa
negativo,medo tosse
negativo,tosse chataaaa
neutro,Segunda semana contando desde gripei tosse ainda embora vezes chego sentir leve gohttpstcoFuHaua3SME
neutro,dando pena bichinho tosse
neutro,ficando preocupada tosse corona graÃa
negativo,Tosse fudida aguento
negativo,mano aguento falta
negativo,doenÃa respiraria merda fazendo nebulizaÃÃo morre falta
neutro,falta vontade chorar
positivo,lindo artistas idosos vacinando sensaÃÃo viver passar horror httpstcoCcpDjXDuUL
negativo,seinncomo tratamento precoce prejudicasse prÃximas fases tratamentonn RETARDADOS preferâ httpstco1veap6S9lP
negativo,pprt mano ontem merda cara vsfd passei inteiro vomitando febre jurei tava covid
neutro,KKKKKKKKKKKK medo causa coronansempre espera delirar febrâ httpstco72J1XSOWLz
neutro,estar febre
neutro,febre estar Elly
neutro,caraca febre
neutro,HelÃ pizzaria aqui sofÃ queimando febre comendo banana kkkkkkkkkkk aÃxad
neutro,filho febre fica pequenininho
neutro,minh diss febre x8dx8fx8dx8fx8dx8fx8dx8fx8dx8fx8dx8fx8dx8f
neutro,febre chorar
negativo,absurdo filas espera mÃdicos queimando febre lugar hora httpstcoUF9nQFmaqN
negativo,Segunda febre odioooor
negativo,febre inferno odio
neutro,HAHAHA âx9d¸x8fnconsigo ouvir tosse daqui
neutro,contando tomei querosene aÃucar curar tosse fessor ficando preocupadoKKKKKKKKKKKKnnNâ httpstcohHiJBoD3IQ
negativo,alguÃm adoece mÃdico imediatamente medicado pessoa febre tosse httpstcoj0fdpZwr1J
neutro,tosse fumante passa nunca
neutro,Ãtimo puta crise tosse alÃrgica causa mudanÃas tempo covid
neutro,febre tosse vezes assustam
neutro,Acordei tosse aqui irmÃo deixou cabelos assustado
negativo,kkkk tosse chata CaraÃxad SaÃxad nada nessa porra pareÃo cachorro doente
neutro,crise tosse putaqpariu
negativo,porra tosse tirou dormi merda nenhuma
negativo,COVID acabando gente Franciel queimando febre explodindo tanta Conradoâ httpstcowzgXNyGloE
neutro,falando irmÃ tosse pouco seca nnnojento menos covid
negativo,HelloÃ tosse crlh saco
neutro,completo semana afastamento conta covid Acordei suando tosse vomito medo pior httpstcoxwLpqZqtAL
negativo,hoje tosse comum aguento
negativo,tosse
negativo,deus Ãdio tosse
neutro,irmÃo chega mÃdico tosse cachorro KKKKK mÃdio aguentou comeÃou kkkkkkkkkkkkkkk
neutro,Mirela tosse seca Coitada
neutro,aguento tosse velho
neutro,ninha fessora matemÃtica crise tosse minnnta covid porra
negativo,tosse desgraÃada parece cuspir pulmÃo cara locura
neutro,tosse chata
neutro,tanta tosse rouca
neutro,tosse chata
neutro,tosse chataa
negativo,Tosse demÃnio
neutro,Nunca pensei ficaria doente febre conta ansiedade
neutro,Pegou COVID febre
negativo,Imaginem entres queridos sendo jogado vala comum gado quandoâ httpstcoyBBitnMPXE
negativo,passar delÃxadrio noite febre assim superar tombo
negativo,trabalha filha pouco febre menina toma conta disse elaâ httpstcoMpyV3ikFsX
positivo,lindona nEstou febre nObrigada
negativo,febre tosse vezes assustam
negativo,Acordei febre gripe fodidaque Ãdio
negativo,gargantade febre fraqueza merda essaxad
negativo,febre baixa nunca deixa ruim
negativo,chorando filha reclamando febre fica pequenininho
negativo,Mano nunca tanto medo febre
positivo,passou madrugada toda vendo febre companheira âx9d¸x8fâx9d¸x8f
positivo,ohmds postei negocio febre emille mandou coisas ajudam melhorar nunca httpstco0DInmkFfNZ
neutro,fiquei febre tanto chorar assim
neutro,febre tanto chorei kkkjj
negativo,graus tremendo frio nada tava febre estado fabril agora surtoâ httpstcoQVjYLDefag
neutro,cÃlica febre
positivo,adeÃo Deus veio sintomas fortes merda COVID somente tosse boca esmagoâ httpstcoplMlRXWaOp
negativo,febre triste x8d·
neutro,febre odeio ficar assim
negativo,queimando febre nmaravilha
negativo,triste querendo morte febre
neutro,lais falando gostar ficar febreÂ¿ doente
neutro,comeÃou febre
neutro,deus febre
neutro,porra bixo dando febre
neutro,diria pescoÃo foda iria render dois dias febre
negativo,Saiu casa buscar outros tava passando comu dipirona febre
negativo,febre novo merda
neutro,febre
negativo,Toda noite fico olhos sensaÃÃo febre aguento
neutro,corporesfriada febre Jesus
neutro,Kkkkkk preconceito velhinha tosse
neutro,pessoas tentando alertar sobre prevenÃÃo covid19 ficando ansiosa Culpa Milena httpstcon0Vf9BalYv
negativo,merda comendo forÃa Ãdio tosse piora
negativo,sincera piorando antes tava tosse agora
neutro,tosse estranha medo vocÃs afastarem mimâx9d kkkkkkkkkkkkkkkkkkkkkk
negativo,raiva dessas crises tosse noturnas
negativo,chegar hora dormir tosse comeÃa
negativo,Caralho nada tosse fuder quarto parece jogam terra nele todo
negativo,caralho tosse alÃrgica desgracias
negativo,tosse mandada mano doido
neutro,tosse corpo febre gente Serasse covid xad¯
negativo,dizendo quer leve atestado fÃbrica levar merda nenhuma filâ httpstcoER9FqmRhHe
neutro,tosse
negativo,Foda tosse httpstcoQILM9GmaFD
negativo,GENTE XAROPE TOSSE HORRÃx8dVEL DEUS ÃDIOOOOOOOOOOO
negativo,coroa mandou Biel subir aqui fumando foda preciso desfocar tosse pouco garganta
negativo,Mdssssss tosse nunca louco
negativo,aguento tosse
neutro,tosse chata nCorona favor aqui
negativo,Poha tosse manooooooo aguento maaaiiiiiisssss aaaaaaaaaaa
neutro,bastasse espirrar toda hora tosse voltou deus
negativo,Todo noite tosse infernal
neutro,Tosse seca pior tosse discorda morre
negativo,compreendo anjinho gente acostuma dentro aperta falta httpstcolUF9RhtxXq
negativo,Ansiedade frescura falta Deus doenÃa falta pÃnico tremedeira alucinaÃÃo httpstco2L8p3zDGt3
negativo,tendo gatilho hospital camas hospital gente falta gente morrendo tudo httpstcoGwPQ39BMd4
negativo,horas ansiedade deixa falta parece morrer
negativo,terra dentro Mandetta sacanagem Fique casa sentirâ httpstcoFqrtDEKfz2
negativo,falta
negativo,triste carannpior umas infecÃÃµes corpo sistema imunolÃgico todoâ httpstcoS3yILfezte
neutro,acordei falta novo olha
negativo,Dores doendo falta crises choro httpstcoZXmFDrRowR
neutro,peito leve falta covid duÃÃo
negativo,ando sentindo muita falta falar acho conhecer deus daqui dias
negativo,seiose falta quero mÃdico Sangue maldito acaba vida httpstcoqvyMRMFb1p
negativo,odeio falta passa nada volta
negativo,falta nada odio
negativo,falta cacete
negativo,falta arao tempo frio suandoum aperto noite
negativo,pais fudendo falta pais preocupados vocÃ httpstcoBn0xJ16p90
negativo,falta senhor
neutro,meses esperando cirurgia Sofia hoje bichinha iria operar acorda febre tomara httpstco8XkuzUTvSY
negativo,febre Deus corre aqui
neutro,BebÃ febre
negativo,acordado desde febre fudida
neutro,Bryan febre aqui agarrada vendo desenho
negativo,reuniÃo sensaÃÃo estar febre serÃ covid apenas RAIVA
positivo,graÃas deus hoje acordei febre tomei remÃdio ontem acordei melhor marcar fazer teste
neutro,Leonan agarrado sentindo febre direto tadinho
positivo,febre baixou bastante sentindo garganta finalmente
negativo,FEBRE BAIXOU QRIA PRESENCIAL MANO mami academia merda
negativo,passar madrugada inteira febre
neutro,favor febre
negativo,Ãdio mano febre garganta doendo acorda fazer cafÃ cara sendo pode fazer
neutro,febre Deus
negativo,quase manhÃ desespero crianÃa queimando febre deitada barriga
neutro,Susto gota vindo madrugada febre
neutro,queimando febre posxadvel mano
neutro,febre noite toda Deus ajude
negativo,puta febre literalmente nada fico febre
positivo,braÃo vacina febre leve noite nunca fiquei feliz sentir kkkkkknObriga httpstcoX80QBxo5hv
negativo,triste mamÃe tomou vacina tendo efeitos ruins bichinha passou noite toda tremendo febrâ httpstcoUBVY0pQCwU
negativo,horas ansiedade deixa falta parece morrer
negativo,crise ansiedade falta crlho
negativo,acordar falta pior coisa
negativo,caralho todo falta
negativo,odeio falta passa nada volta
negativo,falta nada odio
negativo,falta cacete
negativo,bosta desse tosse dsgcd paÃxadsda risada lixo humano merece respeito httpstco86853HjnFb
neutro,acordou tossindo horrores achando tava COVID Desliguei instantaneamenteâ httpstcoF52GBXN3yV
negativo,semana tosse merda tomar
neutro,Crise tosse nenÃm hora consigo dormir
negativo,hmmmm delÃxadcia garganta tosse febre ESPERO MORRA
negativo,tosse chata afff
negativo,inferno tosse junto garganta inflamada
negativo,Rinite tosse deixa dormir nada
negativo,Contra tudo vocÃ disse principais coisas feitas chutar vocÃ siensia paraâ httpstcoRv3qdgDMLO
negativo,Fica casa morrer falta Genocida
negativo,Nunca esquecer cure centro medico falta VocÃ contribui indiretaâ httpstco6pdJN524TF
negativo,Olha vagabundo dizia curar hospital somente caso falta jurava httpstco1xZpKhdJ6H
negativo,seguir tocolo curar ajuda mÃdica falta httpstcojSBBbMCJld
negativo,coragem chamar alguÃm charlao KkkkkkkkkknCom certeza vacina serÃ melhor httpstcoKxHdM2Qojb
negativo,VocÃ responvel milhares mortes infectados âFique Casaâx9d hospital quandoâ httpstcoMZ5UQIOnhg
negativo,parabenizando ministro orientou pessoas curarem auxÃxadlio httpstcoQKUzWxwU65
negativo,vamos tentarficar casa esperando sentir falta hospital morrerfico
negativo,ximo aniverrio tocolo genocida Mandetta Fique casa curâ httpstcobfNn61X5Yt
negativo,Dudu sacanagem cara heim febre hospitais campanha ocupaÃÃo baixâ httpstcozZYSZwgUvn
negativo,inÃxadcio pandemia comprei cookies padaria mordida seguida comâ httpstcoytBXryPO3c
negativo,febre dores passar madrugada acordado apenas tentando cochilar causa corpo super quenâ httpstcoFgvPTmCvA6
neutro,noite toda queimando febre Agarrado x8fu200¸x8f
negativo,acordei febre ÃDIO
neutro,Acordei Arthur febre nada
positivo,diiiianTo melhor febre dias amÃm senhornTriste tudo vivendo preocupada httpstcoeVV9FhPduQ
negativo,Cochilei acordei queimando febre senhor aguentar tudo acontecendo nxad
neutro,acho febre aaaaah
negativo,queimado febre
negativo,febre noite toda DEUS queria dormir direto
negativo,febre vezes consigo ficar amamentaÃÃo nada facil vontade desistir
neutro,Luiz febre desde terÃa cara
negativo,aguento todo ficar febre
negativo,Odeio filho febre dois dias seguidos odeio amuadinho choro queria tirar tudo pega
negativo,olha hora febre cara puta pariu toma
negativo,febre chataaaaa
negativo,queimando febre noite toda deus
negativo,virei noite vendo novela enquanto chorava conta febre odeio
neutro,deus falta FESTA muvuca calor suor open cheirÃo maconha Ãdio covid pagaaaa
negativo,ansiedade atacada falta comeÃo tremer serio caralho
negativo,passando lidar coisas lidar humano morrer falta
negativo,vazio grande falta
negativo,fiquei falta tanto chorar
negativo,2020 mandetta mandando ficar casa sentir falta precisar respirador CARÃx8 httpstcoQWwe4SypBR
negativo,quantos pasis comeu kkkk ansiosa falta fico medo covid
neutro,dando falta novo noite dormir
negativo,ansiedade pÃnico covidnnPÃnico crise pÃssima chorei falta tosse pioraramnnAnsieda httpstcolOwJ4tb0vE
negativo,falta matar
neutro,comecei tremer ficar falta nada
neutro,algo fico falta meudeus
neutro,jesus falta
neutro,amiga covid sentindo muita falta Ficamos telefone esperando ambulÃncia buscar
positivo,falta fudida menos passei vergonha aÃxad caralho foda
negativo,hospital somente falta Lixo httpstco4uwrpqDGbx
neutro,queimando febre nada
negativo,legal morar respeita isolamento pigarreiatosse casa
neutro,Poxa falar olha acordei tosse seca respirar tiro queda
neutro,agora verdade peguei fraco cansaÃo tosse agora sentirâ httpstcoYuSZcIuAMp
negativo,Medo ouvir tosse medo precisar bando arrombâ httpstcoqVw780ZTGr
negativo,tosse seca chata fudida desde
negativo,Bosta tosse caralho
negativo,Cada tosse bate desespero cansada demais desse medo cara
negativo,Caio febre ontem hoje febril noite tosse Jesus morro medo
negativo,ComeÃou tossecoceirannEU AGUENTO MAIIIISSSS
negativo,Mano tosse chata
neutro,Nariz ardendo coriza tosse espirros cara drogada nSou nesse momento rezando covid novo
neutro,tosse misericÃrdia
negativo,tosse infenro
neutro,tosse eita porr
neutro,tosse estranha espirrando Medo
neutro,Tosse capeta
negativo,consigo parar chorar falta
negativo,falta peito quero chorar
negativo,covid preocupa tanto fico pavor falta outros sentem toda vida questionandoâ httpstcoNv8CR3GIOw
negativo,sentimento ruim angÃstia caralho falta
neutro,posso malhar corona tendo sintomas kkkkkkk aÃxad falta httpstcoOQ8porlfX7
negativo,Hora porra falta
negativo,aguento crises falta peito
negativo,madrugada enquanto dormindo tranquilos chorando falta
negativo,aguento falta
neutro,falta
negativo,falta CARALHO
negativo,falta inferno
negativo,falta krlh
neutro,falta peito
negativo,Sentindo falta vtmnc
positivo,crise tosse alÃrgica hora levantou nada remÃdio narural demais
negativo,tosse alÃrgica saco povo acha covid
neutro,tosse seca deve falta lÃxadquido
negativo,tosse capta Deus quero dormir
neutro,Apareceu tosse seca
negativo,agora dormir crise tosse desgraÃadaa
neutro,respiraÃÃo oscilando corpo veio calafrio leve tosse garganta estranha apenas pedindo morr
negativo,tosse deixa bebÃ dormi
negativo,queria dormir tosse impede
neutro,chegou trouxe crise tosse espero tomou chuva hoje
negativo,tosse chata crlh
neutro,vendo raiar acordada ainda bichinho tosse
negativo,medo tosse
negativo,Tosse chata
negativo,Tosse
negativo,Tosse maldita
negativo,Tudo envolve mulher gravidez Tava conversando dizendo algo errado meuâ httpstcoM4qHX1rOwX
neutro,Caraca muita febre
negativo,febre acabou falta desgraÃa passa
negativo,triste trabalhar deixa filho febre criar filho sozinha fÃcil Deus ajudar
negativo,Gilberto mande tomar vocÃ ficou noite toda apoiando medindo febre cuidando pessoa tratando feito lixo
neutro,Pedro acordou enjoadinho febre
neutro,febre esssa passa
negativo,triste demais situaÃÃo escola quele caso falei Ãxadrrita httpstcorAlT4PxCZe
negativo,tosse Camilla sara nÃnMisericÃrdia
negativo,todo mundo tosse capeta nessa credo
neutro,gente âtosse tosseâx9d Socorro
neutro,tanto povo tosse nessa casa kkkk BBB21
neutro,tosse atacando nada causa gripe tava
neutro,cara tosse contagiosa geral assim
positivo,agora anjo tosse outros sintomas pesados embora
negativo,dias semana meia tosse garganta inferno
negativo,agora inferno tosse faltava
negativo,cansada entupir remÃdio tosse precisa acabar
