Paul Ekman,Tweets Limpos
raiva,falta sentindo puta pariuuu
surpresa,creio febre
raiva,Lembra fiquei pior febre mano diarrÃia caralho
surpresa,caceta acho febre
tristeza,ardendo febre deus
raiva,Cara febre baixaaa
surpresa,caralho tomar remÃdio febre suar tanto
felicidade,febre valeu pena vamo
surpresa,Mufina febre olhos” acreditando
tristeza,azarado febre
raiva,falta commisso dessas sonsas realidade comparÃveâ httpstcou7foCDeXA6
raiva,cheio argumentos principal pessoas enviadas casa terem falta Voce httpstco7l0dHhNmqe
tristeza,consigo chorar aperto peito falta
tristeza,ansiedade matar falta manoo vida fode assim
medo,tempo consigo dormi desconfio todos peito falta sensaÃÃo
felicidade,adianta explicar quer ouvir tomei tomo quase vÃrias pessoas ficaâ httpstcopLcE9fNx4v
medo,acho falta parece coraÃao preso caixa explicar deus
medo,Aiii falta ar’essa porra
raiva,falta desde cedo
raiva,pesadelo parece acaba nunca xadxadxadxad voltou hospital Agora falta vÃxadrus httpstcomeprg1pIrk
tristeza,dias falta toda antes dormir nebulizar aglomerando gente munâ httpstcoZSN12pCBbr
raiva,falta todo agora carai
medo,realmente achando morrer posso sentar sofÃ falta
raiva,ensaio cedo graÃas falta madrugada toda pude porra ainda matar
raiva,falta poha
medo,Falta puta cansado sentido nnpor favor agora
raiva,Falta fudida
raiva,Falta hoje passando limites
raiva,fica falta porra
raiva,manhÃ tava saindo bocae tarde acordei falta arquase morrendodia louco porra
medo,indo hospital morrendo falta rezando
tristeza,assustador hospital falta crise choro dentro sozinha quan httpstcohBUhiClVpX
medo,falta parece alguem sentado peito consigo puxar direito morre
tristeza,chorando telefone corpo falta causa covid acaba
tristeza,falta matando poucos aqui nada galera
raiva,repente fiquei falta vtmnc
raiva,falta
tristeza,falta morre
medo,Vivendo eterno falta serÃ covid ansiedade desde marÃo 2020
medo,dormir falta acordo falta assim segue todo Jesus
medo,fecha algm tosse
tristeza,triste Perdi amigo Longas longas conversas disse Covid tosse inconformado
tristeza,crise tosse tudo precisava
raiva,detesto ficar tosse
tristeza,tosse aguento
tristeza,tosse matando
medo,preocupada real ncamilla tosse seca todo Viih tube semana passada agoraâ httpstcofIVkkXmQ1I
medo,Lindo tosse ficando paranÃica
tristeza,Deus difÃxadcil segurar tosse
tristeza,fessor tendo aula covid tendo crise tosse
tristeza,aguento coriza tosse
raiva,aguento tosse satanÃs preciso voltar vida piranha novo
raiva,tosse carai
medo,tosse esquisita medo real covid tomar antialÃrgico passar fodeu
felicidade,todo vizinho passando puta tosse tuberculoso falta morrer sempre assusto kkkkk
raiva,Tosse chata
tristeza,Tosse comeÃo garganta faltava
raiva,tosse seca chata
felicidade,update jeto semana mencionei aqui sintomas leves tosse garganta coriza reporâ httpstcoeEYsJD4mdy
tristeza,meses assim febre dormiu chorou tadinha
medo,AÃxad vocÃ surtando acordo falando filha acordou febre corpo covid
felicidade,Acordei felizona estudar febre
felicidade,venceu febre passou
tristeza,Davi febre acordando toda hora cansada
tristeza,agora febre gente aqui casa pesado
tristeza,sentindo infernal febre quero morre
medo,febre tosse cansaÃo tomara aaaaaaaaa
tristeza,horrores achei tava melhorando voltei febre todo tipo exausto trabalha httpstcoTIOZKbt6mN
tristeza,Kkkkkkkk entendi alÃm psicolÃgico piorei velocidade desabafo febre deus httpstcouTXW64xfUA
medo,tosse febre comprar remÃdio
surpresa,febre
medo,febre suando frio Deus
surpresa,muita febre „xad
medo,Sigo febre Ipanema peÃo teÃÃo
medo,dando febre senhor
surpresa,fudida acho acordei febre olfato diminuiu garganta ficou ruim NADA
medo,menina aqui Ãnibus falando febre nela vacina carai tomo
felicidade,Simmm aÃxad jornal passava povo tava sentindo falta AÃxad ficava SerÃâ httpstcol7GUHxJ2MT
felicidade,sair plantas kkkkkkk hora parece falta
medo,Nesse vÃxaddeo âpacienteâx9d falta Jamais algo HORRÃx8dVEL paganda httpstcokuzJ3q9rZZ
medo,achando fobia social Toda pego onibus metro falta preso preciso psicologo
raiva,sentindo falta direto ansiedade desgraÃada mate logo
raiva,Ontem consigui crise disforia ansiedade depreso falta hiperatividade crise bizarra queâ httpstcomgLA4xVSaO
raiva,Trabalhar gente morta fome falta coisa nojenta existe raÃa maldita
medo,sonhou espÃxadrito tentando sufocala realmente acordou falta arpqp
medo,costas falta acho morrer verdade
surpresa,caralho noite foda dormi quase nada falta
raiva,Falta lixo
tristeza,falta espero morra
medo,Falta
surpresa,Fiquei falta plmds
tristeza,momento chorar falta
raiva,mÃdico nega ambulÃncia irmÃo diarrÃia febre abdominal FALTA httpstcoi9Dln8OO8V
raiva,Ãtimo indo hospital falta indo levar inferno
tristeza,imaginar daqui pouco comeÃa falta vontade chorar
tristeza,romantiza ansiedade nunca passou noite inteira dormir chorando falta cansaÃo desgraÃado crise
medo,muita falta ultimamente medo
medo,menina sala falta deus ainda casa
medo,barriga atrÃs olhos falta feia dormi espera
raiva,todo negÃcio acordar morrendo falta Ãdio merda caralho
raiva,inexplicÃvel falta
nojo,24horas filaâ httpstcouRof6c5KU9
felicidade,brasileirinhos exame Covid 1nSei falso outro vÃxadrus maluco httpstcoZSYjJeGEYF
medo,Cada tosse escutada oraÃÃo diferente
medo,camilla thais tosse caio carla sentir gosto coisas viih tube gargantaarthur httpstcotN5Dk5cxut
medo,Carla Diaz sentir gosto cheironCaio sentir gosto quebradonCamilla Lucas tosse seca nThais httpstcoyIOS8upIxu
felicidade,Melhor coisa muita mÃdica passou xarope tosse fazia dormir httpstcorhr39X09EP
tristeza,Sonhando aguento tosse entrar PÃnico
raiva,tosse pneumologista pede tomografia retorno httpstcos6Be9069NE
tristeza,Aconteceu temia crise tosse Ãnibus queria morrer xadx8fu200¸x8fxadx8fu200¸x8fxadx8fu200¸x8f
medo,dormir cedo lembro tosse tentar engolir formava boca pensava perdeâ httpstcoAvgO2HE28X
medo,febre tosse cansaÃo tomara aaaaaaaaa
felicidade,Finalmente tosse seca expectorando
raiva,preguei olho noite tosse infernos
raiva,odiar tossir frente outros trabalho ataca tosse inferno
medo,tosse coriza garganta febre covid todo caso dado temâ httpstcot4VPKLzX1i
raiva,tosse infernos Brasil
tristeza,Rezem ClÃo internada ontem noite dificuldade respirar tosse cachorro
raiva,separando alas suspeito covid consulta normal igual bosta velhonnse pego merdaâ httpstcohXGLkGK5Mg
medo,tosse desgraÃa medo covid
felicidade,crise tosse chega engasguei kkkkk mulher saiu lado
tristeza,tosse pulmÃo serio dormir hoje
raiva,tosse desgraÃaaaaaa
raiva,tosse caralho embora
medo,tosse terrÃxadvel peito costas pulmÃozinho incomode novamente afim ficar httpstcof3TaG3KETN
surpresa,tosse normal loco
raiva,tipo idiota pensam morre todo santo 1000 pessoas doenÃaâ httpstcoAhMHk34An0
medo,Deus cÃunChuva intensanEu mundonSem noxadciasnVai dando falta
raiva,ansiedade falta crlh
medo,ansiedade esmago barriga falta peito Jesus causa
tristeza,tantas manotas deste desGoverno superei fase vergonha alheia raiâ httpstcoUNA6lqESAK
medo,Espero falta asma covid ferrada
medo,falta ansiedade ataca
surpresa,Deus acordei falta
medo,amado falta
medo,Passei madrugada falta Acho hora chegando
surpresa,falta DeusnParece morrer
raiva,paladar tosse dias casa vigiada Brasil Globolixo fala tanto gente ficar httpstcoMB9VEsQw0d
raiva,Ãdio desse imbecil porra NUNCA tiro mÃscara idiota veio bebendo agua httpstco0W8aZDFdGf
medo,melhorando acho Ainda recuperaram olfato paladar tosse seca httpstcofm7nS1ZokY
tristeza,sensaÃÃo garganta ruim tosse fodida dias httpstco6ZuogmpCB5
medo,Caralho crise tosse agora
raiva,tosse passa raiva
medo,refluxo sinto comer vontade vomitar junto tosse soluÃo insuporveâ httpstcoTTUHYpKwhg
medo,acordou tosse Deus corona pfvv
tristeza,Poxa preocupado acesso tosse agora manhÃ coceira garganta atento verâ httpstcoXScSEbKKYA
raiva,tosse chata mano
raiva,vergonha cara fica onde Conseguiram eliminar sarampo febre amarela dengue hepatite httpstcoIjkZ5XDh9i
felicidade,alÃxadvio contente febre menos corona kkkkk
tristeza,deus todas amigas garganta febre
raiva,Acho dando febre causa porra poeira
felicidade,acordei parecendo levei soco olho tanto doendo maos juntas pÃsnnmassshttpstcoSKIhNAHvML
raiva,sair casa pode sair farmÃcia hospital farmÃcia estar httpstcoHkUMt6gdWZ
tristeza,arthur dormiu aqui queimando febre
tristeza,davi acordou febre aperta logo
medo,apetite algum febre dores corpo latejando medo alguma coisa acabaâ httpstcoYTfSLeEqlC
tristeza,febre favor embora
raiva,Gente semana inhaca todo lado febre cÃlica siso todo zoado crise enxaqueca toma
medo,Mano medo quero morrer nnGalera orem dias seguidos febre alta olhos httpstco3S4ic2SQv8
medo,medo estar febre noÃÃo
tristeza,passou madrigada toda febre”¬
medo,Passei noite toda febre medo
tristeza,piorar tudo ainda febre
raiva,tosse raiva homem maldito
raiva,serio tava comeÃou esfergar falando tomara pegue gripe contaâ httpstcom1T0ut6gJ3
raiva,tosse dando trÃgua finalmente caralho
raiva,aÃxad acordei agora tosse tudo conta desse caralho mudanÃa tempo
tristeza,Dani cheio tosse tadinho
tristeza,Foda tosse gripe pandemia quer expirar tossir pulmÃµes pessoas ficam httpstco9CtteSQEXl
felicidade,Ontem terminei corticoide hoje termino antibiÃtico sentindo melhor comparaÃÃonnMaâ httpstcogF14yxY4zq
raiva,merda pneumonia deixa mano aguento tosse raivaaaa
raiva,tosse desgraÃada consegui dormir direito
raiva,Tosse
raiva,Ruim jornalzinho merdas ministro certeza muita culpa nisto tudo pois httpstcokocH2Rv2ks
tristeza,fico triste envergonhado noxadcias outros estados aqui Paulo httpstcoiLcP3CmleD
medo,Ouvir reportagens covid cedo falta
medo,centro agora manhÃ nada comeÃou medo comum falta bizarra httpstcoBAYWbumx0y
raiva,Pergunta Mandetta porque tocolo cure mÃdico somente sentir falta httpstco8N0s3XKqwS
raiva,Mandetta nunciamento naÃÃo pediu brasileiros curassem ajuda mÃdica somente httpstcovhfOLM1YdU
tristeza,Muitas pessoas perderam vida confiar cidao recomendou curar hospital somenteâ httpstco9mTOF1Wmet
raiva,imbecil recomendava curasse mÃdico sentisse falta
raiva,Falou imbecil fica casa sentir falta
raiva,Falou rapaz mandou hospital falta festinha mÃscara
surpresa,impressionante doenÃa afeta tudo tosse desestabiliza corpo fÃxadsico falta httpstcom33bK6Gean
medo,Acordei falta devo preocupar
medo,Acordei falta bombinha achei asma continua jeito Agora preocupada
medo,falta acho deus
raiva,falta fudidaaa
raiva,Odeio acordar falta
raiva,ontem hoje falta saco sinceramente
raiva,falta
medo,todo acordo hora porque cismo falta covid deus aguento
raiva,alegria pobre dura pouconOntem recheado alegria alÃxadvio estar vacinada puta odioâ httpstcoQWdcrSP3rl
raiva,gripezinha pqpnEu treconMuita febre muita cansaÃoâ httpstcoXxffXAhsJ6
raiva,Amiga chegou febre postinho MÃdico vagabundo corrupto tacou suspeita covid mandou isolar httpstcomHl2ldG80i
raiva,Desde anteontem febre disposiÃÃo
felicidade,passamos margem febre intensos dias
tristeza,Febre dormi choro ainda
raiva,pobre amanhecer febre
tristeza,ontem noite quase morri febre
raiva,arrumei escola febre passa aguento
tristeza,aguento acordar febre
tristeza,consegui dormir cheia febre tendo pesadelos horrÃxadveis
raiva,posso conversar abraÃar ninguÃm porque fico silÃncio consigo httpstcobgkQHR8jCp
raiva,Queimei febre noite inteira acabei levantar morrendoela perguntou ainda quer cobrar coisas mimaff
raiva,viajando maluco porra prudente sofisticada comeu manga febre
raiva,Prescrevendo onde mÃdicos prescrevâ httpstco6gJkuq7nvd
raiva,entendo porque entrevistar cara deveria incriminado ohttpstcoXpoLUBDwdQ
tristeza,FamÃxadlia amigos Covid leitos Pirapora Jesus muita febre fracos DoenÃa podemos ajudar
felicidade,quero avisar melhorzinho graÃas febre sendo controladahttpstcoiUOhJA8DRT
felicidade,quadro clÃxadnico esvel febre oxigÃnio baixo fluxo nenhum outro sintoma relevante assiâ httpstcowf7Gvhgzxy
raiva,febre trem satanÃs
tristeza,Hoje tristeza passageiranHoje fiquei febre tarde inteiranE chegar noite cada estrela parecerÃ lÃgrima
raiva,basta febre horas garganta doendo tanto consigo comertomar nada raiva
felicidade,MamÃe esvel saturaÃÃo normal febre orientadanAinda precisa suporte oxigÃnionO sinal httpstcowpgQGkBTIJ
tristeza,bebÃ acordou febre
raiva,febre preso baixa
tristeza,terceiro acordo febre acontecendo comigo
raiva,queimando febre nada
raiva,mocinha acha graÃa mÃdicos linha frente usam mÃscara inteiro inÃxadcioâ httpstcolvGBwVp5Aj
raiva,Assim mÃdicos compencia pouco commisso vida fala existe httpstcoPr3FSF1ahL
tristeza,sinto fase difÃxadcil guerra enfermeira hospital lotado RSnn‰ falta httpstcofZBI6go9wk
medo,acordei falta porque sonhei contexto pandemia tava todo mundo aglomerado lugar fechado mÃscara agonia
medo,sintomas covid precisei consultar fazer exame fiquei assustado emocâ httpstcoE8oml2EjRM
medo,hoje foda acordei vÃrias vezes falta fiquei paralisia todas vezes tentei dormir novo agora chorando
tristeza,falta
raiva,Cuba pacientes precisam levar comida casa hospitalâ pagar tratamento internaÃâ httpstcoaolf071EON
raiva,Pois nobro aqui Alemanha nenhum remÃdio exceâ httpstcowBeS8k0jJu
felicidade,Renato fase tomando ivermectina azitromicina zinco sentindoâ httpstcoDJlvzQFEi6
medo,sintoma acordeipior muita tosse peito pesado febre preocupada
raiva,acordei tosse
medo,internado Nunca desperador naquele estado cansaÃo tosse persistente tiraâ httpstcossJ7FLBLPJ
raiva,Caralho tosse insuporvel
raiva,tosse voltando FUDEEER GRIPE MERDAAAAA
raiva,amado tosse peste essaaaaaa
raiva,NebulizacÃo entupindo remÃdio nada tosse gripe passar porra corona
raiva,caso tosse velha afogo saliva caso espirro puramente alergico inferno
raiva,nada fico gripado merda cheio tosse
raiva,tosse
raiva,pensar dormir tosse desgraÃada
nojo,Sabe tosse Ãnsia Pois
raiva,tosse caralho
raiva,QUERO PESSOAS MORRAM LIGO DINHEIR9 VENHAM DIZER PASSA ARROGANCIAâ httpstcovyycdGs5lG
raiva,VocÃ covarde carÃter cesseme tosse
raiva,ainda tosse cima outros pragas
raiva,Caralho tabagismo nnFui risada tosse fumante cinco minutos
medo,COVID congeso nasal TaÃxad caso marido tosse seca deixou cismada
medo,Receita dada conforme sintomas Covid doenÃa sismica receiâ httpstco57F1HO00My
medo,acho tosse medo
tristeza,noite covid semana hoje hospital febre tosse reagir âx8f
raiva,tosse cachorro foda
raiva,tosse nunca embora Ãdio
raiva,mano tosse porra
raiva,aguento ficar casa mano vtmnc tosse desgraÃada
nojo,nojo tosse seca nunca passa
medo,medo tosse
raiva,tosse chataaaa
tristeza,Segunda semana contando desde gripei tosse ainda embora vezes chego sentir leve gohttpstcoFuHaua3SME
tristeza,dando pena bichinho tosse
medo,ficando preocupada tosse corona graÃa
tristeza,Tosse fudida aguento
raiva,mano aguento falta
raiva,doenÃa respiraria merda fazendo nebulizaÃÃo morre falta
tristeza,falta vontade chorar
felicidade,lindo artistas idosos vacinando sensaÃÃo viver passar horror httpstcoCcpDjXDuUL
raiva,seinncomo tratamento precoce prejudicasse prÃximas fases tratamentonn RETARDADOS preferâ httpstco1veap6S9lP
medo,pprt mano ontem merda cara vsfd passei inteiro vomitando febre jurei tava covid
medo,KKKKKKKKKKKK medo causa coronansempre espera delirar febrâ httpstco72J1XSOWLz
tristeza,estar febre
tristeza,febre estar Elly
surpresa,caraca febre
felicidade,HelÃ pizzaria aqui sofÃ queimando febre comendo banana kkkkkkkkkkk aÃxad
tristeza,filho febre fica pequenininho
tristeza,minh diss febre x8dx8fx8dx8fx8dx8fx8dx8fx8dx8fx8dx8fx8dx8f
tristeza,febre chorar
raiva,absurdo filas espera mÃdicos queimando febre lugar hora httpstcoUF9nQFmaqN
raiva,Segunda febre odioooor
raiva,febre inferno odio
felicidade,HAHAHA âx9d¸x8fnconsigo ouvir tosse daqui
felicidade,contando tomei querosene aÃucar curar tosse fessor ficando preocupadoKKKKKKKKKKKKnnNâ httpstcohHiJBoD3IQ
raiva,alguÃm adoece mÃdico imediatamente medicado pessoa febre tosse httpstcoj0fdpZwr1J
surpresa,tosse fumante passa nunca
medo,Ãtimo puta crise tosse alÃrgica causa mudanÃas tempo covid
medo,febre tosse vezes assustam
surpresa,Acordei tosse aqui irmÃo deixou cabelos assustado
raiva,kkkk tosse chata CaraÃxad SaÃxad nada nessa porra pareÃo cachorro doente
surpresa,crise tosse putaqpariu
raiva,porra tosse tirou dormi merda nenhuma
medo,COVID acabando gente Franciel queimando febre explodindo tanta Conradoâ httpstcowzgXNyGloE
nojo,falando irmÃ tosse pouco seca nnnojento menos covid
raiva,HelloÃ tosse crlh saco
medo,completo semana afastamento conta covid Acordei suando tosse vomito medo pior httpstcoxwLpqZqtAL
tristeza,hoje tosse comum aguento
raiva,tosse
raiva,deus Ãdio tosse
felicidade,irmÃo chega mÃdico tosse cachorro KKKKK mÃdio aguentou comeÃou kkkkkkkkkkkkkkk
tristeza,Mirela tosse seca Coitada
tristeza,aguento tosse velho
raiva,ninha fessora matemÃtica crise tosse minnnta covid porra
raiva,tosse desgraÃada parece cuspir pulmÃo cara locura
tristeza,tosse chata
surpresa,tanta tosse rouca
raiva,tosse chata
raiva,tosse chataa
raiva,Tosse demÃnio
surpresa,Nunca pensei ficaria doente febre conta ansiedade
surpresa,Pegou COVID febre
tristeza,Imaginem entres queridos sendo jogado vala comum gado quandoâ httpstcoyBBitnMPXE
tristeza,passar delÃxadrio noite febre assim superar tombo
tristeza,trabalha filha pouco febre menina toma conta disse elaâ httpstcoMpyV3ikFsX
felicidade,lindona nEstou febre nObrigada
medo,febre tosse vezes assustam
raiva,Acordei febre gripe fodidaque Ãdio
surpresa,gargantade febre fraqueza merda essaxad
tristeza,febre baixa nunca deixa ruim
tristeza,chorando filha reclamando febre fica pequenininho
medo,Mano nunca tanto medo febre
felicidade,passou madrugada toda vendo febre companheira âx9d¸x8fâx9d¸x8f
felicidade,ohmds postei negocio febre emille mandou coisas ajudam melhorar nunca httpstco0DInmkFfNZ
surpresa,fiquei febre tanto chorar assim
surpresa,febre tanto chorei kkkjj
surpresa,graus tremendo frio nada tava febre estado fabril agora surtoâ httpstcoQVjYLDefag
tristeza,cÃlica febre
felicidade,adeÃo Deus veio sintomas fortes merda COVID somente tosse boca esmagoâ httpstcoplMlRXWaOp
tristeza,febre triste x8d·
raiva,febre odeio ficar assim
raiva,queimando febre nmaravilha
tristeza,triste querendo morte febre
surpresa,lais falando gostar ficar febreÂ¿ doente
tristeza,comeÃou febre
tristeza,deus febre
raiva,porra bixo dando febre
felicidade,diria pescoÃo foda iria render dois dias febre
raiva,Saiu casa buscar outros tava passando comu dipirona febre
raiva,febre novo merda
medo,febre
tristeza,Toda noite fico olhos sensaÃÃo febre aguento
surpresa,corporesfriada febre Jesus
felicidade,Kkkkkk preconceito velhinha tosse
medo,pessoas tentando alertar sobre prevenÃÃo covid19 ficando ansiosa Culpa Milena httpstcon0Vf9BalYv
raiva,merda comendo forÃa Ãdio tosse piora
tristeza,sincera piorando antes tava tosse agora
felicidade,tosse estranha medo vocÃs afastarem mimâx9d kkkkkkkkkkkkkkkkkkkkkk
raiva,raiva dessas crises tosse noturnas
tristeza,chegar hora dormir tosse comeÃa
raiva,Caralho nada tosse fuder quarto parece jogam terra nele todo
raiva,caralho tosse alÃrgica desgracias
surpresa,tosse mandada mano doido
medo,tosse corpo febre gente Serasse covid xad¯
raiva,dizendo quer leve atestado fÃbrica levar merda nenhuma filâ httpstcoER9FqmRhHe
raiva,tosse
raiva,Foda tosse httpstcoQILM9GmaFD
raiva,GENTE XAROPE TOSSE HORRÃx8dVEL DEUS ÃDIOOOOOOOOOOO
raiva,coroa mandou Biel subir aqui fumando foda preciso desfocar tosse pouco garganta
surpresa,Mdssssss tosse nunca louco
tristeza,aguento tosse
medo,tosse chata nCorona favor aqui
raiva,Poha tosse manooooooo aguento maaaiiiiiisssss aaaaaaaaaaa
tristeza,bastasse espirrar toda hora tosse voltou deus
raiva,Todo noite tosse infernal
raiva,Tosse seca pior tosse discorda morre
tristeza,compreendo anjinho gente acostuma dentro aperta falta httpstcolUF9RhtxXq
tristeza,Ansiedade frescura falta Deus doenÃa falta pÃnico tremedeira alucinaÃÃo httpstco2L8p3zDGt3
medo,tendo gatilho hospital camas hospital gente falta gente morrendo tudo httpstcoGwPQ39BMd4
medo,horas ansiedade deixa falta parece morrer
raiva,terra dentro Mandetta sacanagem Fique casa sentirâ httpstcoFqrtDEKfz2
tristeza,falta
tristeza,triste carannpior umas infecÃÃµes corpo sistema imunolÃgico todoâ httpstcoS3yILfezte
tristeza,acordei falta novo olha
tristeza,Dores doendo falta crises choro httpstcoZXmFDrRowR
medo,peito leve falta covid duÃÃo
medo,ando sentindo muita falta falar acho conhecer deus daqui dias
raiva,seiose falta quero mÃdico Sangue maldito acaba vida httpstcoqvyMRMFb1p
raiva,odeio falta passa nada volta
raiva,falta nada odio
raiva,falta cacete
tristeza,falta arao tempo frio suandoum aperto noite
tristeza,pais fudendo falta pais preocupados vocÃ httpstcoBn0xJ16p90
medo,falta senhor
medo,meses esperando cirurgia Sofia hoje bichinha iria operar acorda febre tomara httpstco8XkuzUTvSY
medo,febre Deus corre aqui
tristeza,BebÃ febre
raiva,acordado desde febre fudida
tristeza,Bryan febre aqui agarrada vendo desenho
raiva,reuniÃo sensaÃÃo estar febre serÃ covid apenas RAIVA
felicidade,graÃas deus hoje acordei febre tomei remÃdio ontem acordei melhor marcar fazer teste
tristeza,Leonan agarrado sentindo febre direto tadinho
felicidade,febre baixou bastante sentindo garganta finalmente
tristeza,FEBRE BAIXOU QRIA PRESENCIAL MANO mami academia merda
tristeza,passar madrugada inteira febre
tristeza,favor febre
raiva,Ãdio mano febre garganta doendo acorda fazer cafÃ cara sendo pode fazer
surpresa,febre Deus
tristeza,quase manhÃ desespero crianÃa queimando febre deitada barriga
surpresa,Susto gota vindo madrugada febre
tristeza,queimando febre posxadvel mano
tristeza,febre noite toda Deus ajude
raiva,puta febre literalmente nada fico febre
felicidade,braÃo vacina febre leve noite nunca fiquei feliz sentir kkkkkknObriga httpstcoX80QBxo5hv
tristeza,triste mamÃe tomou vacina tendo efeitos ruins bichinha passou noite toda tremendo febrâ httpstcoUBVY0pQCwU
medo,horas ansiedade deixa falta parece morrer
raiva,crise ansiedade falta crlho
tristeza,acordar falta pior coisa
raiva,caralho todo falta
raiva,odeio falta passa nada volta
raiva,falta nada odio
raiva,falta cacete
raiva,bosta desse tosse dsgcd paÃxadsda risada lixo humano merece respeito httpstco86853HjnFb
medo,acordou tossindo horrores achando tava COVID Desliguei instantaneamenteâ httpstcoF52GBXN3yV
raiva,semana tosse merda tomar
tristeza,Crise tosse nenÃm hora consigo dormir
raiva,hmmmm delÃxadcia garganta tosse febre ESPERO MORRA
raiva,tosse chata afff
raiva,inferno tosse junto garganta inflamada
raiva,Rinite tosse deixa dormir nada
raiva,Contra tudo vocÃ disse principais coisas feitas chutar vocÃ siensia paraâ httpstcoRv3qdgDMLO
raiva,Fica casa morrer falta Genocida
raiva,Nunca esquecer cure centro medico falta VocÃ contribui indiretaâ httpstco6pdJN524TF
raiva,Olha vagabundo dizia curar hospital somente caso falta jurava httpstco1xZpKhdJ6H
raiva,seguir tocolo curar ajuda mÃdica falta httpstcojSBBbMCJld
raiva,coragem chamar alguÃm charlao KkkkkkkkkknCom certeza vacina serÃ melhor httpstcoKxHdM2Qojb
raiva,VocÃ responvel milhares mortes infectados âFique Casaâx9d hospital quandoâ httpstcoMZ5UQIOnhg
raiva,parabenizando ministro orientou pessoas curarem auxÃxadlio httpstcoQKUzWxwU65
raiva,vamos tentarficar casa esperando sentir falta hospital morrerfico
raiva,ximo aniverrio tocolo genocida Mandetta Fique casa curâ httpstcobfNn61X5Yt
raiva,Dudu sacanagem cara heim febre hospitais campanha ocupaÃÃo baixâ httpstcozZYSZwgUvn
tristeza,inÃxadcio pandemia comprei cookies padaria mordida seguida comâ httpstcoytBXryPO3c
tristeza,febre dores passar madrugada acordado apenas tentando cochilar causa corpo super quenâ httpstcoFgvPTmCvA6
tristeza,noite toda queimando febre Agarrado x8fu200¸x8f
raiva,acordei febre ÃDIO
tristeza,Acordei Arthur febre nada
tristeza,diiiianTo melhor febre dias amÃm senhornTriste tudo vivendo preocupada httpstcoeVV9FhPduQ
tristeza,Cochilei acordei queimando febre senhor aguentar tudo acontecendo nxad
tristeza,acho febre aaaaah
tristeza,queimado febre
tristeza,febre noite toda DEUS queria dormir direto
tristeza,febre vezes consigo ficar amamentaÃÃo nada facil vontade desistir
raiva,Luiz febre desde terÃa cara
tristeza,aguento todo ficar febre
tristeza,Odeio filho febre dois dias seguidos odeio amuadinho choro queria tirar tudo pega
raiva,olha hora febre cara puta pariu toma
raiva,febre chataaaaa
tristeza,queimando febre noite toda deus
tristeza,virei noite vendo novela enquanto chorava conta febre odeio
raiva,deus falta FESTA muvuca calor suor open cheirÃo maconha Ãdio covid pagaaaa
tristeza,ansiedade atacada falta comeÃo tremer serio caralho
tristeza,passando lidar coisas lidar humano morrer falta
tristeza,vazio grande falta
tristeza,fiquei falta tanto chorar
raiva,2020 mandetta mandando ficar casa sentir falta precisar respirador CARÃx8 httpstcoQWwe4SypBR
medo,quantos pasis comeu kkkk ansiosa falta fico medo covid
tristeza,dando falta novo noite dormir
tristeza,ansiedade pÃnico covidnnPÃnico crise pÃssima chorei falta tosse pioraramnnAnsieda httpstcolOwJ4tb0vE
medo,falta matar
surpresa,comecei tremer ficar falta nada
medo,algo fico falta meudeus
medo,jesus falta
tristeza,amiga covid sentindo muita falta Ficamos telefone esperando ambulÃncia buscar
felicidade,falta fudida menos passei vergonha aÃxad caralho foda
raiva,hospital somente falta Lixo httpstco4uwrpqDGbx
surpresa,queimando febre nada
raiva,legal morar respeita isolamento pigarreiatosse casa
tristeza,Poxa falar olha acordei tosse seca respirar tiro queda
tristeza,agora verdade peguei fraco cansaÃo tosse agora sentirâ httpstcoYuSZcIuAMp
medo,Medo ouvir tosse medo precisar bando arrombâ httpstcoqVw780ZTGr
raiva,tosse seca chata fudida desde
raiva,Bosta tosse caralho
medo,Cada tosse bate desespero cansada demais desse medo cara
medo,Caio febre ontem hoje febril noite tosse Jesus morro medo
tristeza,ComeÃou tossecoceirannEU AGUENTO MAIIIISSSS
raiva,Mano tosse chata
medo,Nariz ardendo coriza tosse espirros cara drogada nSou nesse momento rezando covid novo
surpresa,tosse misericÃrdia
raiva,tosse infenro
medo,tosse eita porr
medo,tosse estranha espirrando Medo
raiva,Tosse capeta
tristeza,consigo parar chorar falta
tristeza,falta peito quero chorar
medo,covid preocupa tanto fico pavor falta outros sentem toda vida questionandoâ httpstcoNv8CR3GIOw
tristeza,sentimento ruim angÃstia caralho falta
felicidade,posso malhar corona tendo sintomas kkkkkkk aÃxad falta httpstcoOQ8porlfX7
raiva,Hora porra falta
tristeza,aguento crises falta peito
tristeza,madrugada enquanto dormindo tranquilos chorando falta
tristeza,aguento falta
surpresa,falta
raiva,falta CARALHO
raiva,falta inferno
raiva,falta krlh
surpresa,falta peito
raiva,Sentindo falta vtmnc
felicidade,crise tosse alÃrgica hora levantou nada remÃdio narural demais
raiva,tosse alÃrgica saco povo acha covid
tristeza,tosse seca deve falta lÃxadquido
tristeza,tosse capta Deus quero dormir
surpresa,Apareceu tosse seca
raiva,agora dormir crise tosse desgraÃadaa
medo,respiraÃÃo oscilando corpo veio calafrio leve tosse garganta estranha apenas pedindo morr
tristeza,tosse deixa bebÃ dormi
raiva,queria dormir tosse impede
medo,chegou trouxe crise tosse espero tomou chuva hoje
raiva,tosse chata crlh
tristeza,vendo raiar acordada ainda bichinho tosse
medo,medo tosse
